_step,_runtime,train/loss,train/lr,_timestamp,epoch,val/mae,val/score,val/mptr18,eval/mptr18,eval/lat_p50,eval/mptr18_dark,eval/adult_block,eval/lat_p95,eval/mae
680,329.468646674,0.4318473935127258,0.0001488468982301,1782671332.361647,,,,,,,,,,
688,352.618912353,,,1782671341.5202248,16.0,5.985,7.0365,0.2103,,,,,,
700,356.114819951,0.1439561694860458,0.0001411645831519,1782671364.6718166,,,,,,,,,,
720,366.431284195,0.2607581615447998,0.0001335054692916,1782671368.167808,,,,,,,,,,
731,388.659172394,,,1782671378.4825597,17.0,6.002,7.183,0.2362,,,,,,
740,392.153051696,0.043829508125782,0.0001258896689734,1782671400.7121284,,,,,,,,,,
760,402.437034762,0.0539671145379543,0.0001183371807832,1782671404.2060738,,,,,,,,,,
774,424.905175682,,,1782671414.4881516,18.0,6.056,7.126,0.214,,,,,,
780,428.390016117,0.4697874188423157,0.0001108678370534,1782671436.9581711,,,,,,,,,,
800,439.839895478,0.3577952682971954,0.0001035012517845,1782671440.4430497,,,,,,,,,,
817,462.439104275,,,1782671451.8922193,19.0,6.03,7.008,0.1956,,,,,,
820,465.929391615,0.1300987154245376,9.625676914034346e-05,1782671474.492026,,,,,,,,,,
840,469.416445465,0.021054483950138,8.915341265098207e-05,1782671477.982569,,,,,,,,,,
860,500.845179196,0.2404022216796875,8.220983525888292e-05,1782671489.199694,20.0,5.815,6.83,0.203,,,,,,
880,504.325411141,-0.0547745004296302,7.544427033712106e-05,1782671512.898255,,,,,,,,,,
900,512.830381223,0.0676078498363494,6.887448380984712e-05,1782671516.3784962,,,,,,,,,,
903,538.126994465,,,1782671524.883175,21.0,5.773,6.8245,0.2103,,,,,,
920,541.6173423,0.6265507340431213,6.251772750015049e-05,1782671550.1798663,,,,,,,,,,
940,550.92135498,-0.254768431186676,5.639069382791746e-05,1782671553.6704783,,,,,,,,,,
946,574.531327896,,,1782671562.9724076,22.0,5.803,6.8545,0.2103,,,,,,
960,578.020928006,-0.3135899305343628,5.0509471976645355e-05,1782671586.584249,,,,,,,,,,
980,587.459190868,0.0428934358060359,4.488950564431519e-05,1782671590.0740912,,,,,,,,,,
989,609.944451012,,,1782671599.51183,23.0,5.762,6.776999999999999,0.203,,,,,,
1000,613.434629879,-0.2344434708356857,3.954555248926649e-05,1782671621.997448,,,,,,,,,,
1020,624.051291484,-0.2468648552894592,3.449164537756671e-05,1782671625.4876685,,,,,,,,,,
1032,645.681207448,,,1782671636.102476,24.0,5.803,6.818,0.203,,,,,,
1040,649.184924881,-0.2200478762388229,2.974105553363668e-05,1782671657.7342288,,,,,,,,,,
1060,659.614381004,-0.387999951839447,2.5306257690896936e-05,1782671661.2378526,,,,,,,,,,
1075,679.424157139,,,1782671671.666383,25.0,5.746,6.816000000000001,0.214,,,,,,
1080,683.271959519,-0.4209035634994507,2.119889733394608e-05,1782671691.4769945,,,,,,,,,,
1100,694.918544846,-0.2654468119144439,1.7429760118291845e-05,1782671695.3249788,,,,,,,,,,
1118,717.619031724,,,1782671706.97072,26.0,5.786,6.801,0.203,,,,,,
1120,721.112098941,-0.4248895347118377,1.4008743547935896e-05,1782671729.671786,,,,,,,,,,
1140,724.597869733,-0.4079611301422119,1.09448309851857e-05,1782671733.1651125,,,,,,,,,,
1160,732.861362982,-0.3746258020401001,8.246068060941747e-06,1782671736.650987,,,,,,,,,,
1161,756.369925351,,,1782671744.913407,27.0,5.741,6.756,0.203,,,,,,
1180,759.855478659,0.2876584231853485,5.919541547405276e-06,1782671768.4228804,,,,,,,,,,
1200,768.397115139,-0.3527562618255615,3.97136074868491e-06,1782671771.9086535,,,,,,,,,,
1204,796.427812483,,,1782671780.449822,28.0,5.731,6.746,0.203,,,,,,
1220,799.915259782,-0.4325636923313141,2.4066414581699557e-06,1782671808.4809155,,,,,,,,,,
1240,808.807516424,-0.3063929080963135,1.2294925247967546e-06,1782671811.9683902,,,,,,,,,,
1247,835.971686731,,,1782671820.859542,29.0,5.729,6.744,0.203,,,,,,
1260,839.463084547,0.0360183864831924,4.430050634841864e-07,1782671848.0247202,,,,,,,,,,
1280,848.866356766,-0.2630707919597626,4.9244338071213755e-08,1782671851.5161135,,,,,,,,,,
1290,879.575415548,,,1782671891.6279614,30.0,5.741,6.756,0.203,0.3169,14.2,0.383,0.0102,14.31,6.03
