train/entropy,_step,train/mean_token_accuracy,train/num_tokens,_runtime,train/loss,train/grad_norm,train/learning_rate,train/epoch,_timestamp,train/global_step,eval/loss,eval/entropy,eval/num_tokens,eval/steps_per_second,eval/samples_per_second,eval/mean_token_accuracy,eval/runtime
0.5394003715366125,0,0.7197131458669901,131968.0,66.488125529,3.0044750213623046,0.69140625,0.0001809523809523,0.0888888888888888,1782673187.6087394,20,,,,,,,
0.11649348475039,1,0.9573272794485091,264312.0,125.34528327,0.114062488079071,0.2294921875,0.0001996264156553,0.1777777777777777,1782673246.465634,40,,,,,,,
0.0923555516637861,2,0.9616208069026472,396642.0,183.443093691,0.0947108030319213,0.138671875,0.0001983385961888,0.2666666666666666,1782673304.5637703,60,,,,,,,
0.0906927796080708,3,0.9622031077742575,529633.0,241.504686411,0.0913625955581665,0.1064453125,0.0001961438041122,0.3555555555555555,1782673362.6252947,80,,,,,,,
0.0889473474584519,4,0.9624176517128944,662263.0,299.933299251,0.0907084703445434,0.08544921875,0.0001930622818977,0.4444444444444444,1782673421.0530956,100,,,,,,,
0.0898612228222191,5,0.9626460820436478,794068.0,358.04591861,0.0901522159576416,0.09716796875,0.0001891224502911,0.5333333333333333,1782673479.1657748,120,,,,,,,
0.089036729093641,6,0.9625330068171024,926889.0,416.615397271,0.0901673376560211,0.0908203125,0.0001843606461885,0.6222222222222222,1782673537.735825,140,,,,,,,
0.0892408692277968,7,0.962095259130001,1059113.0,474.817692522,0.0904618620872497,0.08935546875,0.0001788207875027,0.7111111111111111,1782673595.937633,160,,,,,,,
0.0890397535637021,8,0.9621634669601916,1192067.0,533.424250874,0.0898258447647094,0.060791015625,0.0001725539681103,0.8,1782673654.5453076,180,,,,,,,
0.0888715893030166,9,0.9624237023293972,1324998.0,591.558908331,0.0891732931137085,0.06396484375,0.0001656179866149,0.8888888888888888,1782673712.6775112,200,,,,,,,
0.0888812826946377,10,0.9618277214467524,1457634.0,650.024087191,0.0898339390754699,0.07177734375,0.0001580768132731,0.9777777777777776,1782673771.1438105,220,,,,,,,
,11,,,685.278159164,,,,1.0,1782673806.3944943,225,0.0892990306019783,0.0883361283689737,1490888.0,4.741,37.927,0.962690908908844,21.093
0.088487693388015,12,0.9628055937588216,1590051.0,738.701836089,0.0892833232879638,0.0654296875,0.00015,1.0666666666666669,1782673859.8217907,240,,,,,,,
0.0887576449662446,13,0.9623636402189732,1722533.0,797.731063879,0.0889258444309234,0.0703125,0.000141462038894,1.1555555555555554,1782673918.8498037,260,,,,,,,
0.0883686161600053,14,0.96270157918334,1854736.0,856.570487549,0.0892844796180725,0.055908203125,0.0001325416752006,1.2444444444444445,1782673977.6914828,280,,,,,,,
0.0880400626920163,15,0.9629368670284748,1987714.0,915.162642186,0.0889361679553985,0.06787109375,0.0001233211810473,1.3333333333333333,1782674036.2834857,300,,,,,,,
0.0881587898358702,16,0.962618800997734,2120452.0,974.282453382,0.0885950803756713,0.05224609375,0.0001138855966521,1.4222222222222225,1782674095.4018998,320,,,,,,,
0.0882180390879511,17,0.96252184137702,2252952.0,1033.887476731,0.0886872708797454,0.05126953125,0.0001043219460008,1.511111111111111,1782674155.005627,340,,,,,,,
0.0881392973475158,18,0.9629517808556556,2385675.0,1093.848285424,0.0881728529930114,0.05322265625,9.4718434228933e-05,1.6,1782674214.9677713,360,,,,,,,
0.0879061824642121,19,0.9627706803381444,2518343.0,1151.787985745,0.0884010016918182,0.050048828125,8.516363410920376e-05,1.6888888888888889,1782674272.9064932,380,,,,,,,
0.0882454195991158,20,0.9624802961945532,2650537.0,1210.130255094,0.0884219527244567,0.061279296875,7.57456691489978e-05,1.7777777777777777,1782674331.2498984,400,,,,,,,
0.0880973946303129,21,0.9624303668737412,2783026.0,1269.016274211,0.0885697662830352,0.043701171875,6.655140083091793e-05,1.8666666666666667,1782674390.1342754,420,,,,,,,
0.0876879137009382,22,0.9632832437753678,2915549.0,1327.766191182,0.0878301799297332,0.0615234375,5.766562749313309e-05,1.9555555555555555,1782674448.8843396,440,,,,,,,
,23,,,1377.937973094,,,,2.0,1782674499.0578222,450,0.0878501310944557,0.0883461605757474,2981776.0,4.713,37.702,0.9632564449310302,21.2189
0.0884342653676867,24,0.9629421338438988,3048113.0,1417.763836608,0.0881991982460022,0.052490234375,4.917030223798057e-05,2.0444444444444443,1782674538.8816752,460,,,,,,,
0.0877778462134301,25,0.9629913315176964,3180867.0,1479.470393445,0.0877752363681793,0.05859375,4.1143777082055715e-05,2.1333333333333333,1782674600.5899048,480,,,,,,,
0.0883017121814191,26,0.963013281673193,3312834.0,1541.853475242,0.0882483541965484,0.051025390625,3.3660080318959044e-05,2.2222222222222223,1782674662.9743776,500,,,,,,,
0.0877558665350079,27,0.9633282877504824,3445579.0,1604.110888726,0.0873867571353912,0.06298828125,2.678823375955314e-05,2.311111111111111,1782674725.231596,520,,,,,,,
0.0876595676876604,28,0.9631839387118816,3578448.0,1665.36713065,0.0873622238636016,0.05224609375,2.0591616146792705e-05,2.4,1782674786.488146,540,,,,,,,
0.0883222893811762,29,0.9626126386225224,3710719.0,1727.414246652,0.0877856314182281,0.047119140625,1.5127378616325604e-05,2.488888888888889,1782674848.5356596,560,,,,,,,
0.0878234564326703,30,0.9632389597594738,3843319.0,1788.894396443,0.0874762058258056,0.052490234375,1.0445917594046072e-05,2.5777777777777775,1782674910.01273,580,,,,,,,
0.0875528641045093,31,0.96377741843462,3975888.0,1850.662873703,0.0869692385196685,0.05029296875,6.590409992042956e-06,2.6666666666666665,1782674971.783911,600,,,,,,,
0.0881756401620805,32,0.9627520382404328,4108471.0,1912.570917608,0.0876868844032287,0.046142578125,3.5964149898111586e-06,2.7555555555555555,1782675033.690983,620,,,,,,,
0.0878373563289642,33,0.9629592530429364,4240688.0,1972.970106531,0.0875974535942077,0.06494140625,1.4915460734805097e-06,2.844444444444445,1782675094.091443,640,,,,,,,
0.0876801778562366,34,0.9633057035505772,4373271.0,2034.485048149,0.0873964667320251,0.046142578125,2.952163578300193e-07,2.9333333333333336,1782675155.6064372,660,,,,,,,
,35,,,2101.447775611,,,,3.0,1782675222.5677302,675,0.08744727820158,0.0880964811891317,4472664.0,4.572,36.576,0.9632368367910386,21.8725
,36,,,2106.953586389,,,,3.0,1782675228.074479,675,,,,,,,
